trials1.thisRepN,trials1.thisTrialN,trials1.thisN,trials1.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,trials3.thisRepN,trials3.thisTrialN,trials3.thisN,trials3.thisIndex,instr1.started,instr1.stopped,instr1Resp.keys,instr1Resp.rt,instr1Resp.started,instr1Resp.stopped,fix1.started,fix1.stopped,trial1Mouse.x,trial1Mouse.y,trial1Mouse.leftButton,trial1Mouse.midButton,trial1Mouse.rightButton,trial1Mouse.time,trial1Mouse.started,trial1Mouse.stopped,step,targetangle_deg,trial1Target.started,trial1Target.stopped,trial1Home.started,trial1Home.stopped,trial1Cursor.started,trial1Cursor.stopped,trial1Num.started,trial1Num.stopped,trial1Skip.keys,trial1Skip.rt,trial1Skip.started,trial1Skip.stopped,instr2.started,instr2.stopped,instr2Resp.keys,instr2Resp.rt,instr2Resp.started,instr2Resp.stopped,fix2.started,fix2.stopped,trial2Mouse.x,trial2Mouse.y,trial2Mouse.leftButton,trial2Mouse.midButton,trial2Mouse.rightButton,trial2Mouse.time,trial2Mouse.started,trial2Mouse.stopped,trial2Target.started,trial2Target.stopped,trial2Home.started,trial2Home.stopped,trial2Cursor.started,trial2Cursor.stopped,trial2Num.started,trial2Num.stopped,trial2Skip.keys,trial2Skip.rt,trial2Skip.started,trial2Skip.stopped,instr3.started,instr3.stopped,instr3Resp.keys,instr3Resp.rt,instr3Resp.started,instr3Resp.stopped,fix3.started,fix3.stopped,trial3Mouse.x,trial3Mouse.y,trial3Mouse.leftButton,trial3Mouse.midButton,trial3Mouse.rightButton,trial3Mouse.time,trial3Mouse.started,trial3Mouse.stopped,trial3Target.started,trial3Target.stopped,trial3Home.started,trial3Home.stopped,trial3Cursor.started,trial3Cursor.stopped,trial3Num.started,trial3Num.stopped,trial3Skip.keys,trial3Skip.rt,trial3Skip.started,trial3Skip.stopped,thanks.started,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,23.519921200117096,None,space,0.4681985001079738,23.519921200117096,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_03_1437,mousePos3,2020.1.3,59.97979876167627,
0,0,0,0,,,,,,,,,,,,,,,24.009224799927324,None,"[-0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334]","[0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0027846000157296658, 0.016203399980440736, 0.02961780014447868, 0.0466416000854224, 0.06319690006785095, 0.07993970019742846, 0.09647010010667145, 0.11328430008143187, 0.12955760001204908, 0.1465521000791341, 0.16321320016868412, 0.17991530010476708, 0.19657879997976124, 0.21318640001118183, 0.2298124001827091, 0.24650350003503263, 0.2631971000228077, 0.279890000121668, 0.2965414000209421, 0.3131864001043141, 0.3297715000808239, 0.34649819997139275, 0.3631519000045955, 0.379518800182268]",25.009746599942446,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",30,25.009746599942446,None,25.009746599942446,None,25.009746599942446,None,25.009746599942446,None,space,0.3543837999459356,25.009746599942446,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_03_1437,mousePos3,2020.1.3,59.97979876167627,
1,0,1,0,,,,,,,,,,,,,,,,,"[-0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334]","[0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0061253998428583145, 0.016885200049728155, 0.038556399988010526, 0.055972599890083075, 0.07310869987122715, 0.08901959983631968, 0.10589569993317127, 0.12272009998559952, 0.13936809985898435, 0.15590789983980358, 0.17253959993831813, 0.1892365999519825, 0.20630840002559125]",25.40092510008253,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",60,25.40092510008253,None,25.40092510008253,None,25.40092510008253,None,25.40092510008253,None,space,0.18711509997956455,25.40092510008253,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_03_1437,mousePos3,2020.1.3,59.97979876167627,
2,0,2,0,,,,,,,,,,,,,,,,,"[-0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334]","[0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.006093400064855814, 0.01642680005170405, 0.04004159988835454, 0.0572221998590976, 0.07405499997548759, 0.09112320002168417, 0.10737599991261959, 0.12398490007035434, 0.14071250008419156, 0.1573409999255091, 0.17401549988426268, 0.19071169989183545, 0.2074108999222517, 0.22394589986652136]",25.616592299891636,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",30,25.616592299891636,None,25.616592299891636,None,25.616592299891636,None,25.616592299891636,None,space,0.19549339986406267,25.616592299891636,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_03_1437,mousePos3,2020.1.3,59.97979876167627,
3,0,3,0,,,,,,,,,,,,,,,,,"[-0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334]","[0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0027075998950749636, 0.013823000015690923, 0.025270199868828058, 0.04133090004324913, 0.05805939994752407, 0.07445909990929067, 0.09137999988161027, 0.1085893998388201, 0.12469840003177524, 0.142508199904114, 0.15833069989457726, 0.17476939992047846, 0.19135340000502765, 0.20800049998797476, 0.2251483998261392]",25.84563839994371,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",60,25.84563839994371,None,25.84563839994371,None,25.84563839994371,None,25.84563839994371,None,space,0.20646569994278252,25.84563839994371,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_03_1437,mousePos3,2020.1.3,59.97979876167627,
4,0,4,0,,,,,,,,,,,,,,,,,"[-0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334]","[0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0033946000039577484, 0.014588099904358387, 0.03951589995995164, 0.056770999915897846, 0.07335229986347258, 0.0899932999163866, 0.10667719994671643, 0.1234124000184238, 0.14005779987201095, 0.1567112000193447, 0.17340049985796213, 0.18984939996153116, 0.20659519988112152, 0.22380229993723333]",26.081009299959987,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",30,26.081009299959987,None,26.081009299959987,None,26.081009299959987,None,26.081009299959987,None,space,0.203098300145939,26.081009299959987,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_03_1437,mousePos3,2020.1.3,59.97979876167627,
5,0,5,0,,,,,,,,,,,,,,,,,"[-0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334]","[0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.005896700080484152, 0.016513400012627244, 0.03835180005989969, 0.05572500010021031, 0.07230919995345175, 0.08981689997017384, 0.10561210010200739, 0.1222838000394404, 0.13902150001376867, 0.15558129991404712, 0.17232930008322, 0.18897269992157817, 0.20606549992226064]",26.31737680011429,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",60,26.31737680011429,None,26.31737680011429,None,26.31737680011429,None,26.31737680011429,None,space,0.1911030998453498,26.31737680011429,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_03_1437,mousePos3,2020.1.3,59.97979876167627,
6,0,6,0,,,,,,,,,,,,,,,,,"[-0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334]","[0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.006249200087040663, 0.016725500114262104, 0.040288800140842795, 0.057675400050356984, 0.07435100013390183, 0.09092450002208352, 0.10764360008761287, 0.12437840015627444, 0.14092020015232265, 0.15763680008240044, 0.17435170011594892, 0.1909579001367092, 0.20769040007144213, 0.2242319001816213, 0.24098450015299022, 0.2582642000634223]",26.53238119999878,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",30,26.53238119999878,None,26.53238119999878,None,26.53238119999878,None,26.53238119999878,None,space,0.24007389997132123,26.53238119999878,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_03_1437,mousePos3,2020.1.3,59.97979876167627,
7,0,7,0,,,,,,,,,,,,,,,,,"[-0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334]","[0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.006442499812692404, 0.017758799949660897, 0.037538299802690744, 0.054821599973365664, 0.07167169987224042, 0.0886983999516815, 0.10488389991223812, 0.1212877999059856, 0.13850250001996756, 0.15482129994779825, 0.1714664997998625, 0.1891759999562055, 0.20520589989610016, 0.22201129980385303]",26.802572699962184,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",60,26.802572699962184,None,26.802572699962184,None,26.802572699962184,None,26.802572699962184,None,space,0.20148950000293553,26.802572699962184,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_03_1437,mousePos3,2020.1.3,59.97979876167627,
8,0,8,0,,,,,,,,,,,,,,,,,"[-0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334, -0.20052083333333334]","[0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334, 0.13020833333333334]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.003645499935373664, 0.014702799962833524, 0.03948899987153709, 0.05677489982917905, 0.07366059999912977, 0.090687699848786, 0.10694689978845417, 0.12362859980203211, 0.14022999978624284, 0.15695479977875948, 0.17360119987279177, 0.18995989998802543, 0.20687279989942908]",27.030960500007495,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",30,27.030960500007495,None,27.030960500007495,None,27.030960500007495,None,27.030960500007495,None,space,0.18111669993959367,27.030960500007495,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_03_1437,mousePos3,2020.1.3,59.97979876167627,
